title,date,markers
Виртуальная книжная выставка «Подвиг и Победа в литературе писателей-фронтовиков»,7 МАЯ 2023,интересное;ДеньПобеды;
Митинг памяти павших в Великой Отечественной войне,7 МАЯ 2023,важное;ДеньПобеды;
Студенты факультета физической культуры и спорта продолжают организовывать и...,5 МАЯ 2023,студенты;спорт;
РЦИО ЗабГУ организовал площадку АНСИ к празднованию Дня Победы,5 МАЯ 2023,спорт;РЦИО;
Представители ЗабГУ заняли призовые места в нескольких номинациях Абилимпикс-2023,5 МАЯ 2023,РЦИО;
На Юридическом факультете ЗабГУ открылась выставка «Смыслы и Образы Нового Мира....,5 МАЯ 2023,интересное;
Диктант «Педагог – профессия будущего»,4 МАЯ 2023,образование;
«Литературный апрель» завершился в ЗабГУ,4 МАЯ 2023,образование;
Профнавигации для студентов 1 курса кафедры «Строительство»,4 МАЯ 2023,студенты;сотрудничество;
Кто имеет право на прием на места в пределах отдельной квоты?,12 МАЯ 2023,важное;
Поступи в АЛРОСА-класс,12 МАЯ 2023,сотрудничество;
Студенты ЗабГУ поборются за победу в вузовском этапе чемпионата по стандартам...,11 МАЯ 2023,конкурс;
АНСИ в честь Великой победы,10 МАЯ 2023,спорт;РЦИО;
IX Международная научно-практическая конференция «Экология. Здоровье. Спорт»,10 МАЯ 2023,наука;конференции;
Магистерская программа «Русский язык в различных сферах коммуникации»,10 МАЯ 2023,образование;
Ушла из жизни Лариса Александровна БОБЫЛЕВА,10 МАЯ 2023,
Поздравление и.о.ректора с Днём Победы!,9 МАЯ 2023,поздравляем;ДеньПобеды;
Фестиваль-конкурс "Ступени мастерства" стартовал в ЗабГУ,8 МАЯ 2023,интересное;
Студенты факультета физической культуры и спорта провели соревнования по адаптивным...,4 МАЯ 2023,студенты;спорт;
Всероссийская научно-практическая конференция Безопасность 2023,4 МАЯ 2023,конференции;
XV Всероссийская молодежная научно-практическая конференция «Теоретическая и...,3 МАЯ 2023,конференции;
Преподаватели и студенты ФФКиС приняли участие в чемпионате «Молодые профессионалы»,3 МАЯ 2023,спорт;
XXV Межрегиональная студенческая научно-практическая конференция "Человек,...,3 МАЯ 2023,конференции;анонс;
Технический семинар для работников дорожного хозяйства,3 МАЯ 2023,сотрудничество;
В ЗабГУ прошли курсы профессиональной переподготовки: "Педагогическое...,3 МАЯ 2023,образование;конференции;
Студентка ППФ заняла II место в чемпионате «Абилимпикс»,3 МАЯ 2023,студенты;конкурс;
Студенты ЗабГУ приняли участие в региональном этапе чемпионата Абилимпикс,2 МАЯ 2023,РЦИО;
Выборы заведующего кафедрой,25 АПР 2023,важное;объявление;
Конкурс на замещение вакантных должностей педагогических работников,26 АПР 2023,конкурс;важное;объявление;
Мобильное приложение «Расписание ЗабГУ»,5 МАЯ 2023,
ИФФ провел интеллектуальную игру для судов Забайкалья,14 МАЯ 2023,интересное;
Перестройка высшего инженерного образования,14 МАЯ 2023,студенты;образование;
Определены сроки проведения Всемирного фестиваля молодежи и студентов,13 МАЯ 2023,студенты;
Заканчивается регистрация на конкурс «Лидеры России»,12 МАЯ 2023,конкурс;интересное;
Деканы факультетов ЗабГУ проведут встречи со школьниками и их родителями,12 МАЯ 2023,абитуриенту;
Зелёный Марафон - 2023 в Чите,12 МАЯ 2023,спорт;
Российско-китайский Форум ученых в Харбине: ЗабГУ развивает сетевое взаимодействие...,2 МАЯ 2023,сотрудничество;
Виртуальная книжная выставка «Подвиг и Победа в литературе писателей-фронтовиков»,2 МАЯ 2023,ДеньПобеды;
LXIII Российская археолого-этнографическая конференция студентов и молодых учёных,2 МАЯ 2023,
V Международная Неделя русского языка в Сочинском государственном университете,2 МАЯ 2023,студенты;конференции;
Региональная олимпиада посвященная Победе в Великой Отечественной войне,2 МАЯ 2023,олимпиада;
Традиционный турнир по мини-футболу «Кубок памяти Сергея Литвина»,2 МАЯ 2023,спорт;
Мастер-класс по настольным спортивным играм для ветеранов провёл РЦИО ЗабГУ,2 МАЯ 2023,спорт;РЦИО;
Специалисты РЦИО приняли участие в симпозиуме по вопросам доступности образования...,2 МАЯ 2023,РЦИО;
Школа клиницистов в ЗабГУ,1 МАЯ 2023,студенты;
